Name,simulate8Clients/alpha50_1_Outcome,simulate8Clients/alpha50_2_Outcome,simulate8Clients/alpha50_3_Outcome,simulate8Clients/OR_8Clients_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/alpha50_1_TotalSplits,simulate8Clients/alpha50_2_TotalSplits,simulate8Clients/alpha50_3_TotalSplits,simulate8Clients/OR_8Clients_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/alpha50_1_Runtime,simulate8Clients/alpha50_2_Runtime,simulate8Clients/alpha50_3_Runtime,simulate8Clients/OR_8Clients_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime,Run number
61883_markqueryrelations_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,31,37,32,30,166,8.379171,8.881281,10.382617999999999,12.825095,21.464454,simulate8Clients/alpha50_1,156.16441053655547,8.379171,Run1
61883_completerequest_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,20,20,23,21,84,7.84796,7.638898999999999,10.328638999999999,8.066478,13.064848999999999,simulate8Clients/alpha50_2,71.03052416323347,7.638898999999999,Run1
1394diag_ioallocatecomplete_0.bpl.bpl.txt,OK,OK,OK,OK,OK,84,61,73,66,653,357.503962,301.031372,372.860228,224.96270299999998,623.256482,simulate8Clients/OR_8Clients,177.0488057302548,224.96270299999998,Run1
sys_pendedcompletedrequest3_6.bpl.bpl.txt,OK,OK,OK,OK,OK,93,72,67,80,95,66.21202000000001,56.02793,73.21318799999999,60.426142000000006,44.240782,wholeBenchmarkRun/OR,26.64317280829257,56.02793,Run1
61883_multremovelock_1.bpl.bpl.txt,OK,OK,OK,OK,OK,96,74,85,59,376,302.641054,120.133763,196.82059,154.67093,120.659892,simulate8Clients/alpha50_2,0.43795265116268556,120.133763,Run1
avc_lowerdriverreturn_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,156,132,145,138,431,773.028327,188.70368299999998,460.913151,202.376532,165.64982400000002,wholeBenchmarkRun/OR,13.917225170127532,188.70368299999998,Run1
sys_removelockreleasedevicecontrol_4.bpl.bpl.txt,OK,OK,OK,OK,OK,8,9,7,6,7,4.649583,4.863943,4.3283439999999995,4.47246,5.377306,simulate8Clients/alpha50_3,24.23471886707712,4.3283439999999995,Run1
61883_completerequest_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,20,18,22,21,88,9.95016,7.766207,8.516475000000002,7.968076000000001,12.312295,simulate8Clients/alpha50_2,58.53678636173362,7.766207,Run1
sbp2port_pendedcompletedrequest2_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,18,13,17,20,109,7.4327179999999995,4.9506440000000005,5.5042860000000005,7.338287,8.631381,simulate8Clients/alpha50_2,74.34865039780681,4.9506440000000005,Run1
ppa3x_completerequest_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,123,112,93,235,0,3599.16831,3599.176661,3599.17117,3599.169185,3600,NONE,NA,3600,Run1
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,32,37,29,99,106,36.992946,39.885814,29.691223,116.209512,27.745588,wholeBenchmarkRun/OR,7.012412207663428,29.691223,Run1
driver_zwregistrycreate_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,648,597,625,0,0,3596.985411,3596.919987,3596.906372,3600,3600,NONE,NA,3600,Run1
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,22,27,21,22,43,5.742286,5.367542,5.607899,5.590109,7.756029000000001,simulate8Clients/alpha50_2,44.49871095559197,5.367542,Run1
61883_removelockreleasepnp_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,218,141,158,98,0,3599.086785,3599.062965,3599.088449,3599.10352,3600,NONE,NA,3600,Run1
sys_irqlreturn_6.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,35,45,44,47,51,13.886793,25.34054,19.016801,25.635617,20.220138000000002,simulate8Clients/alpha50_1,45.60696627363857,13.886793,Run1
parport_markstartdevice_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,26,16,19,19,19,19.378652,13.037908,14.060043,18.479094,19.074861000000002,simulate8Clients/alpha50_2,46.303080218084084,13.037908,Run1
daytona_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,75,47,55,64,283,41.147353,39.744454,41.659921000000004,51.565112,87.337674,simulate8Clients/alpha50_2,119.74807856210583,39.744454,Run1
driver_irqliopassive5_1.bpl.bpl.txt,OK,OK,OK,OK,OK,1,2,1,1,1,0.9684839999999997,1.4260610000000002,1.0198150000000004,1.0316459999999998,2.2678280000000006,simulate8Clients/alpha50_1,134.16267073075048,0.9684839999999997,Run1
Imapi_removelockreleasedevicecontrol_0.bpl.bpl.txt,OK,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,84,71,58,239,0,1663.144448,3599.224173,3599.150786,3599.191068,3600,simulate8Clients/alpha50_1,116.45744627468461,1663.144448,Run1
hw_irqlreturn_0.bpl.bpl.txt,OK,OK,OK,OK,OK,134,103,102,100,319,230.543549,112.301468,116.07409,105.13070599999999,130.636874,simulate8Clients/OR_8Clients,24.26138753410447,105.13070599999999,Run1
sbp2port_ioallocateforward_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,27,21,21,20,90,18.741517,10.635603999999999,9.097775,7.157304,11.209912,simulate8Clients/OR_8Clients,56.62199062663817,7.157304,Run1
