Name,OR_OutCome,splitOnDemand_Outcome,OR_TotalSplits,splitOnDemand_TotalSplits,OR_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not OR,OR TimedOut but not splitOnDemand
cyzport_irqlkedispatchlte_0.bpl.bpl.txt,NOK,NOK,68,18,72.458331,126.135399,OR,74.07991221878959,0,0
filter_lowerdriverreturn_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2227,130,3597.877185,3596.00961,TIMED-OUT,TIMED-OUT,0,0
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,TIMEDOUT,271,81,852.656904,3595.755989,OR,321.71194206386207,1,0
avc_pagedcode_0.bpl.bpl.txt,OK,OK,57,150,72.246304,416.87982900000003,OR,477.0258212793834,0,0
modem_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1593,11,3597.825399,3596.255296,TIMED-OUT,TIMED-OUT,0,0
61883_pendedcompletedrequest3_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1794,26,3598.026753,3597.704546,TIMED-OUT,TIMED-OUT,0,0
mouser_iobuilddeviceiocontrolsetevent_0.bpl.bpl.txt,NOK,NOK,23,17,13.662427999999998,54.904359,OR,301.86384879759294,0,0
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,OK,2269,132,3598.58917,1987.546036,splitOnDemand,81.0568965357037,0,1
parzip_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,OK,75,98,23.845439,151.91083700000001,OR,537.0645430348337,0,0
1394diag_completerequest_0.bpl.bpl.txt,NOK,NOK,21,22,11.830161,160.307692,OR,1255.0761650665615,0,0
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,213,67,3597.773626,3597.662218,TIMED-OUT,TIMED-OUT,0,0
1394vdev_completerequest_0.bpl.bpl.txt,NOK,NOK,20,28,11.108319000000002,48.708137,OR,338.4834194984857,0,0
